EVENT_ID, Time, Latitude, Longitude, Depth, Magnitude, MagnitudeType, BbEnergyMagnitude, BbRuptureDuration, BbStationCount, BbTotalEnergy, HfEnergyMagnitude, HfRuptureDuration, HfStationCount, HfTotalEnergy
249224, 1992 05 17 09 49 18, 7.3012, 126.7497, 32.8, 7.1, mw, 7.07, 61.0, 12, 9.0E14, 7.26, 61.0, 9, 3.50000006E14
2494714, 2007 07 03 08 26 00, 0.72, -30.2614, 10.0, 6.3, MW, 6.14, 44.0, 60, 3.6000001E13, 6.37, 44.0, 46, 1.59999999E13
249678, 1992 04 18 09 16 52, -5.4575, 102.9402, 25.8, 6.6, mw, 6.23, 60.0, 13, 5.0E13, 6.48, 60.0, 8, 2.40000004E13
2499068, 2007 04 16 13 20 38, -58.0707, 148.1983, 17.5, 6.4, MW, 6.27, 38.0, 22, 5.8000002E13, 6.58, 38.0, 11, 3.39999992E13
2499422, 2007 09 03 16 14 54, 45.8019, 150.0969, 100.6, 6.2, MW, 6.3, 32.0, 63, 6.2999998E13, 6.69, 32.0, 50, 4.8999998E13
2506055, 2007 10 04 12 40 31, 2.545, 92.8891, 36.7, 6.2, MW, 5.96, 48.0, 49, 1.99999997E13, 6.27, 48.0, 30, 1.20000002E13
2507698, 2007 08 04 14 24 52, -4.7502, -105.4065, 10.0, 6.1, MW, 5.62, 44.0, 33, 6.0000001E12, 5.92, 44.0, 8, 3.49999989E12
2511414, 2007 06 24 00 25 17, -55.6106, -2.4337, 10.0, 6.5, MW, 6.17, 52.0, 26, 4.1000001E13, 6.45, 52.0, 9, 2.1999999E13
2512111, 2007 10 05 07 17 54, -25.1987, 179.4462, 521.3, 6.5, MW, 6.28, 30.0, 32, 5.8999999E13, 6.68, 30.0, 19, 4.8000001E13
2514794, 2007 01 25 10 59 18, 22.5998, 121.9541, 39.6, 6.0, MW, 6.23, 61.0, 39, 5.0E13, 6.5, 61.0, 24, 2.59999998E13
2516377, 2007 07 06 01 09 19, 16.35, -93.99, 113.0, 6.1, MW, 6.31, 93.0, 40, 6.5000002E13, 6.66, 93.0, 32, 4.3999998E13
2516643, 2007 02 28 23 13 17, -55.2878, -29.2147, 21.4, 6.2, MW, 6.22, 44.0, 24, 4.8000001E13, 6.38, 44.0, 11, 1.69999996E13
2521185, 2007 10 06 12 38 54, 18.7612, 147.1675, 62.1, 6.1, MW, 6.54, 61.0, 59, 1.40000004E14, 6.86, 61.0, 42, 8.7999996E13
2521572, 2007 09 06 17 51 27, 24.3394, 122.2535, 58.2, 6.2, MW, 6.13, 40.0, 49, 3.5000001E13, 6.45, 40.0, 31, 2.09999993E13
252175, 1992 05 20 12 20 32, 33.3547, 71.3279, 16.3, 6.3, mw, 6.04, 61.0, 11, 2.59999998E13, 6.34, 61.0, 9, 1.50000003E13
2526782, 2007 08 07 00 02 23, 27.3348, 126.845, 10.2, 5.9, MW, 5.98, 56.0, 44, 2.09999993E13, 6.21, 56.0, 18, 9.2000003E12
2527598, 2007 04 20 00 26 43, 25.6635, 125.1152, 30.4, 6.1, MW, 6.15, 54.0, 51, 3.8E13, 6.36, 54.0, 32, 1.59999999E13
2528454, 2007 04 20 01 45 56, 25.6589, 125.1102, 11.6, 6.3, MW, 6.5, 48.0, 56, 1.20000002E14, 6.58, 48.0, 42, 3.39999992E13
2532806, 2007 06 26 22 23 04, -10.4979, 108.2138, 18.2, 5.9, MW, 5.95, 51.0, 48, 1.9E13, 6.31, 51.0, 30, 1.29999999E13
2536104, 2007 12 09 07 28 20, -26.0959, -177.3637, 149.8, 7.8, MW, 7.96, 52.0, 36, 2.00000005E16, 8.13, 52.0, 34, 7.1000002E15
2539213, 2007 08 08 17 04 58, -6.089, 107.5839, 293.8, 7.5, MW, 7.62, 42.0, 52, 6.0999998E15, 7.83, 42.0, 50, 2.50000007E15
2539242, 2007 08 08 17 05 06, -5.8913, 107.4513, 295.8, 7.5, MW, 7.54, 32.0, 54, 4.6999999E15, 7.77, 32.0, 51, 2.09999997E15
2540926, 2007 04 21 07 12 48, -3.5537, 151.3511, 407.8, 6.1, MW, 5.85, 30.0, 44, 1.39999995E13, 6.28, 30.0, 33, 1.20000002E13
254145, 1992 07 20 07 46 47, 78.6289, 5.4946, 10.0, 6.6, mw, 6.69, 76.0, 27, 2.40000004E14, 6.63, 76.0, 19, 3.9999999E13
2541968, 2007 10 09 15 03 41, -4.8151, 152.8741, 46.8, 6.0, MW, 5.96, 54.0, 40, 1.9E13, 6.44, 54.0, 23, 2.09999993E13
2543346, 2007 06 28 02 52 10, -7.9648, 154.6166, 17.9, 6.7, MW, 6.85, 47.0, 46, 4.19999986E14, 6.97, 47.0, 35, 1.30000003E14
2544009, 2007 09 10 01 49 14, 3.0005, -77.9001, 29.0, 6.8, MW, 6.72, 53.0, 47, 2.69999999E14, 6.5, 53.0, 27, 2.50000001E13
2544248, 2007 05 29 01 03 28, -4.5977, 151.8587, 134.3, 6.1, MW, 5.72, 52.0, 38, 8.5999999E12, 6.07, 52.0, 28, 5.6999999E12
2544348, 2007 11 10 01 13 38, -51.4182, 161.6015, 22.7, 6.6, MW, 6.19, 60.0, 27, 4.3E13, 6.3, 60.0, 12, 1.29999999E13
2544592, 2007 04 21 17 53 45, -45.2292, -72.4878, 23.8, 6.2, MW, 6.21, 32.0, 25, 4.6999999E13, 6.55, 32.0, 14, 3.00000005E13
2546437, 2007 05 29 09 36 05, -1.0238, 127.4832, 24.1, 6.1, MW, 6.21, 33.0, 50, 4.6999999E13, 6.47, 33.0, 34, 2.30000008E13
2546541, 2007 01 30 04 54 49, -54.9175, 146.2902, 10.0, 6.9, MW, 6.95, 35.0, 28, 6.0000002E14, 6.91, 35.0, 15, 1.0E14
2551949, 2007 01 30 21 37 50, 21.1695, 144.7656, 51.7, 6.6, MW, 6.81, 54.0, 56, 3.6999999E14, 7.02, 54.0, 47, 1.50000005E14
2553653, 2007 01 31 03 15 55, -29.9015, -177.9179, 60.5, 6.5, MW, 6.35, 42.0, 29, 7.6E13, 6.64, 42.0, 17, 4.1999999E13
2557132, 2007 05 30 20 22 13, 52.1523, 157.2167, 122.3, 6.4, MW, 6.36, 32.0, 76, 7.8000003E13, 6.56, 32.0, 63, 3.19999999E13
2559759, 2007 09 12 11 10 26, -4.4637, 101.3959, 35.5, 8.5, MW, 8.31, 134.0, 57, 6.5999998E16, 8.08, 134.0, 51, 6.0000001E15
2561491, 2007 07 12 05 23 49, -7.9279, -74.3249, 152.4, 6.1, MW, 6.25, 63.0, 40, 5.3000001E13, 6.59, 63.0, 37, 3.5000001E13
2562295, 2007 12 13 05 20 25, -23.1885, -70.4177, 41.7, 5.9, MW, 5.88, 57.0, 34, 1.50000003E13, 6.15, 57.0, 11, 7.4000001E12
2563002, 2007 12 13 07 23 42, -23.2335, -70.5276, 30.6, 6.2, MW, 6.09, 66.0, 38, 3.10000002E13, 6.38, 66.0, 13, 1.69999996E13
256427, 1992 05 25 16 55 04, 19.6046, -77.8658, 23.1, 6.3, mb, 6.73, 60.0, 11, 2.80000008E14, 6.51, 60.0, 8, 2.59999998E13
2564553, 2007 09 12 23 49 04, -2.6161, 100.7261, 36.0, 7.9, MW, 7.92, 126.0, 58, 1.70000002E16, 7.78, 126.0, 52, 2.09999997E15
2564747, 2007 12 13 15 51 30, -15.2746, -172.3211, 33.3, 6.2, MW, 5.77, 45.0, 33, 9.9999998E12, 6.01, 45.0, 20, 4.6000002E12
2565764, 2007 09 13 03 35 28, -2.1573, 99.5731, 20.0, 7.1, MW, 7.06, 64.0, 61, 8.8000001E14, 7.12, 64.0, 50, 2.09999993E14
2565849, 2007 08 12 12 05 20, -11.342, 166.2383, 43.1, 6.0, MW, 5.87, 52.0, 36, 1.39999995E13, 6.14, 52.0, 26, 7.1999999E12
2566441, 2007 10 13 17 45 51, -21.2051, 169.2917, 22.2, 6.1, MW, 6.27, 51.0, 39, 5.8000002E13, 6.33, 51.0, 26, 1.39999995E13
2567254, 2007 09 13 09 48 44, 3.7941, 126.4582, 24.4, 6.3, MW, 6.73, 48.0, 48, 2.80000008E14, 7.09, 48.0, 36, 1.90000008E14
2568452, 2007 11 14 15 40 49, -22.3208, -69.7803, 33.6, 7.7, MW, 7.82, 83.0, 45, 1.20000001E16, 7.88, 83.0, 43, 3.00000003E15
2568765, 2007 07 13 21 54 44, 51.904, -176.2683, 46.1, 5.9, MW, 5.95, 69.0, 70, 1.9E13, 6.22, 69.0, 55, 9.7000001E12
2569012, 2007 09 13 16 09 17, -3.2096, 101.3653, 50.9, 6.0, MW, 6.11, 44.0, 55, 3.29999995E13, 6.43, 44.0, 40, 1.99999997E13
2570678, 2007 04 25 13 34 16, -14.3155, 166.853, 67.8, 6.4, MW, 6.23, 44.0, 44, 5.0E13, 6.49, 44.0, 30, 2.40000004E13
2571144, 2007 12 15 08 03 16, -7.6192, 127.5146, 181.0, 5.9, MW, 5.76, 24.0, 34, 9.9000003E12, 6.21, 24.0, 25, 9.2000003E12
2571383, 2007 12 15 09 39 54, -6.6564, 131.1278, 65.1, 6.4, MW, 6.66, 47.0, 42, 2.20000003E14, 6.98, 47.0, 30, 1.30000003E14
2572487, 2007 09 14 06 01 33, -4.1551, 101.0996, 32.9, 6.4, MW, 6.24, 53.0, 51, 5.2E13, 6.55, 53.0, 34, 3.00000005E13
2572956, 2007 11 15 15 03 09, -22.8981, -70.4148, 31.4, 6.3, MW, 6.49, 191.0, 46, 1.20000002E14, 6.62, 191.0, 37, 3.8E13
2572979, 2007 11 15 15 06 00, -22.7389, -70.0773, 35.0, 6.8, MW, 6.75, 51.0, 46, 3.0000001E14, 6.87, 51.0, 30, 9.2000003E13
2573701, 2007 07 15 09 27 37, -15.4206, 168.6159, 23.5, 6.1, MW, 6.1, 33.0, 37, 3.19999999E13, 6.25, 33.0, 25, 1.09999995E13
2574019, 2007 10 15 12 29 33, -44.7401, 167.5146, 2.0, 6.8, MW, 6.88, 56.0, 37, 4.70000016E14, 6.82, 56.0, 26, 7.6E13
2574476, 2007 07 15 13 08 01, 52.5329, -168.0756, 13.3, 6.1, MW, 5.89, 53.0, 69, 1.50000003E13, 6.11, 53.0, 49, 6.4999999E12
2575090, 2007 12 16 08 09 20, -22.8877, -70.1289, 57.0, 6.7, MW, 7.0, 78.0, 45, 7.2E14, 7.05, 78.0, 35, 1.70000007E14
2575343, 2007 10 15 21 28 24, -44.7602, 167.5366, 19.1, 6.1, MW, 5.93, 48.0, 27, 1.80000003E13, 6.22, 48.0, 16, 9.5999995E12
2575363, 2007 11 16 03 13 00, -2.3388, -77.7937, 123.6, 6.8, MW, 6.6, 39.0, 42, 1.79999999E14, 6.86, 39.0, 34, 8.6999998E13
257540, 1992 05 27 05 13 39, -11.1131, 165.2191, 23.1, 7.0, mw, 7.02, 45.0, 11, 7.5000001E14, 6.91, 45.0, 8, 1.0E14
2576760, 2007 07 16 01 13 21, 37.5566, 138.4821, 7.4, 6.6, MW, 6.7, 48.0, 67, 2.49999997E14, 6.75, 48.0, 53, 6.0000001E13
2579960, 2007 10 16 21 05 43, -25.7449, 179.5019, 501.2, 6.6, MW, 6.46, 27.0, 35, 1.10000001E14, 6.78, 27.0, 27, 6.5999999E13
258085, 1992 06 28 11 57 35, 34.2483, -116.4781, 1.1, 7.2, mw, 7.23, 71.0, 11, 1.60000001E15, 7.28, 71.0, 8, 3.80000017E14
2582651, 2007 07 16 14 17 37, 36.8647, 134.8238, 349.0, 6.8, MW, 6.93, 24.0, 61, 5.49999989E14, 7.32, 24.0, 56, 4.30000013E14
2583622, 2007 08 15 20 22 13, 50.3359, -177.5748, 18.9, 6.5, MW, 6.57, 38.0, 75, 1.59999997E14, 6.72, 38.0, 58, 5.3999999E13
2584474, 2007 08 15 23 40 58, -13.3836, -76.5555, 41.2, 8.0, MW, 8.02, 134.0, 38, 2.40000002E16, 7.9, 134.0, 42, 3.20000001E15
2585716, 2007 11 18 05 40 09, -22.6479, -66.2655, 216.4, 6.0, MW, 6.04, 23.0, 37, 2.59999998E13, 6.49, 23.0, 28, 2.40000004E13
2586220, 2007 08 16 05 16 56, -14.2784, -76.0919, 24.7, 6.4, MW, 6.21, 57.0, 35, 4.6000002E13, 6.48, 57.0, 19, 2.40000004E13
2587251, 2007 08 16 08 39 28, -9.8291, 159.4616, 9.5, 6.5, MW, 6.66, 35.0, 49, 2.20000003E14, 6.75, 35.0, 33, 6.0000001E13
2587314, 2007 07 17 09 39 30, -26.2456, -177.6871, 28.9, 6.1, MW, 6.23, 34.0, 27, 5.0E13, 6.45, 34.0, 8, 2.09999993E13
2587660, 2007 12 19 09 30 28, 51.3982, -179.5373, 36.2, 7.2, MW, 6.88, 64.0, 83, 4.70000016E14, 6.99, 64.0, 63, 1.40000004E14
2588210, 2007 08 16 11 35 31, -14.3376, -76.0736, 40.5, 6.0, MW, 5.72, 59.0, 32, 8.6999999E12, 6.07, 59.0, 16, 5.6999999E12
2588237, 2007 08 16 11 35 41, -14.2544, -76.2006, 31.8, 6.0, MW, 5.71, 45.0, 34, 8.2000001E12, 6.08, 45.0, 11, 6.0000001E12
2589157, 2007 04 29 12 41 58, 52.014, -179.9621, 126.9, 6.2, MW, 6.16, 21.0, 69, 3.9000002E13, 6.49, 21.0, 59, 2.40000004E13
2589246, 2007 11 19 00 52 12, -21.2118, -178.6727, 558.9, 6.3, MW, 6.33, 18.0, 30, 7.0000002E13, 6.77, 18.0, 23, 6.5000002E13
2591002, 2007 07 18 00 07 39, -26.2815, -177.6959, 37.1, 6.1, MW, 5.89, 31.0, 29, 1.59999999E13, 6.23, 31.0, 10, 9.9999998E12
2591959, 2007 08 17 03 04 07, -5.2834, 129.4668, 42.4, 6.4, MW, 6.68, 48.0, 46, 2.29999995E14, 6.91, 48.0, 31, 1.0E14
2592142, 2007 12 20 07 55 19, -38.9483, 178.012, 42.2, 6.6, MW, 6.65, 56.0, 40, 2.09999993E14, 6.98, 56.0, 28, 1.30000003E14
2595756, 2007 09 19 07 27 51, -2.7753, 100.8303, 38.4, 5.9, MW, 5.8, 47.0, 46, 1.09999995E13, 6.11, 47.0, 30, 6.4999999E12
2595855, 2007 11 20 12 52 59, -6.9016, 155.7526, 53.2, 6.0, MW, 6.08, 41.0, 32, 2.90000009E13, 6.26, 41.0, 19, 1.09999995E13
2596823, 2007 11 20 17 55 51, -22.8806, -70.5143, 13.7, 6.1, MW, 6.03, 58.0, 35, 2.50000001E13, 6.25, 58.0, 15, 9.9999998E12
2597013, 2007 08 18 02 52 36, -13.8095, -76.297, 33.4, 6.0, MW, 6.06, 43.0, 38, 2.79999991E13, 6.27, 43.0, 29, 1.09999995E13
2597607, 2007 12 21 07 24 35, 51.3404, -178.9723, 37.9, 6.3, MW, 5.9, 32.0, 61, 1.59999999E13, 6.25, 32.0, 34, 9.9999998E12
2600161, 2007 09 20 08 31 14, -2.0214, 100.0592, 30.9, 6.7, MW, 6.61, 57.0, 63, 1.79999999E14, 6.76, 57.0, 50, 6.2999998E13
2602203, 2007 12 22 07 11 10, -2.3709, 139.112, 36.1, 6.2, MW, 6.25, 44.0, 44, 5.3999999E13, 6.44, 44.0, 31, 2.09999993E13
2602409, 2007 11 22 08 48 30, -5.811, 147.0978, 77.1, 6.8, MW, 6.7, 87.0, 47, 2.60000006E14, 6.9, 87.0, 37, 1.0E14
2603231, 2007 12 22 12 26 19, 2.1251, 96.7849, 32.8, 6.1, MW, 5.9, 58.0, 47, 1.59999999E13, 6.27, 58.0, 31, 1.20000002E13
