Time,Lat,Lon,Depth,Mw,Mo,FocalMechanism,Width,Length,AspectRatio,Strike,Dip,Rake,RuptureVelocity,RuptureTime,StressDrop,Heterogeneity,Young,Poisson
728088,51.22,157.84,46,7.47,2.132081e+20,Reverse,106.04440329273,124.016744792769,1.16947939676201,211,29,90,2.32,2.65,1,0.0258047405311622,148630640073.666,0.277525625625947
732262,-8.15,124.87,10.5,7.47,2.1081025e+20,Reverse,60.9145922695209,71.1649228416947,1.16827381076148,67.2,22.5,72.27,2.16,2.34,4.1,0.652337468062716,92433525817.5518,0.268327401536147
731603,18.77,-104.1,24,7.46,2.0225539e+20,Reverse,75.0688814174997,64.1335806418473,0.854329775944907,304,16,110.5,2.05,2.07,4.6,0.0608742934556868,142236116397.781,0.27792859382424
733313,22,142.65,276.1,7.46,2.0129418e+20,Reverse,31.7745574792782,27.8351969775863,0.876021546350067,73.3,48.54,50.05,1.86,1.96,18,0.558042557440447,200478024329.075,0.294701159381663
734046,-0.8,99.9,78,7.46,2.0585054e+20,StikeSlip,22.3940272943982,29.6042759203114,1.32197194953481,71.34,53.51,137.96,1.89,1.97,30,0.694029307924278,172821445288.876,0.279487037997594
731280,6.03,124.25,31,7.45,1.9504308e+20,Reverse,81.4301510382397,96.4768785017827,1.18478078784942,314.09,24.66,69.61,2,2.04,2.9,0.0300211579170744,140855478853.195,0.276811553150952
733063,1.07,126.28,22,7.45,1.9893466e+20,Reverse,47.5749455877887,133.27498560095,2.80136916510017,26,38,107.94,1.95,2.48,3.4,0.154915072258885,103553611111.799,0.271186067218148
733995,14.1,92.89,24,7.45,1.948191e+20,Normal,61.9147324041657,131.641575729975,2.1261753159272,202.5,35,271,2.06,5.43,1.8,0.156097705208553,90775147457.1738,0.277795745638386
734301,7.88,91.94,35,7.45,1.9811867e+20,StikeSlip,50.9641334550701,62.3100627183293,1.22262576628055,115.1,66.14,149.13,1.77,2.15,10,0.206647529444248,172323174946.641,0.279519753124759
735702,-11.4548,162.0634,35,7.43,1.860952e+20,Reverse,75.5673094060179,44.8375026093517,0.593345230388486,90,40,75,2.2,2.96,4.9,0.139508317480684,103878943857.226,0.285929725913492
729759,-22.3,170.91,101,7.43,1.8389115e+20,StikeSlip,77.763845329583,103.033176690218,1.32494961191203,336,47,160,1.54,2.99,2.2,0.0337021137788713,172821445288.877,0.279487037997594
734948,16.5,-98.22,20,7.42,1.7831935e+20,Reverse,54.972267816172,51.6415957916315,0.939411776940359,296,13,95,1.81,2.17,8.5,0.548797599664343,101489186518.127,0.267954165882121
730450,-16.288,168.288,14,7.41,1.6854665e+20,Reverse,31.3621236698294,138.295234542063,4.40962595511682,170,40,67,1.67,3.31,3,0.132598902311073,101029370262.58,0.291675810667024
735377,-23.01,-177.23,174,7.39,1.574821e+20,Normal,22.764960013967,34.5037257888167,1.51565062129025,15,79,275,1.59,2.28,19,0.0600310085990852,172821445288.877,0.279487037997594
727197,-5.09,150.98,177,7.39,1.5844264e+20,Reverse,42.183855136052,35.1026729542572,0.832135252717978,102,80,127,1.66,2.6,8.9,0.18790691420746,172821445288.877,0.279487037997594
733458,2.77,95.96,26,7.39,1.5921202e+20,Reverse,58.8248517451969,66.7592241877261,1.13488129943612,308,12,80,1.39,2.23,3.1,0.0337689510184705,172821445288.877,0.279487037997594
736561,-55.3394,-31.9394,12,7.38,1.5333185e+20,Reverse,31.2957993834875,60.3782305537718,1.92927586906852,133,35,100,2.5,2.17,10,1.16239009463966,135998033187.456,0.284211749275978
730393,16.06,-96.93,40,7.38,1.5480472e+20,Normal,34.8845980798936,62.5214623465362,1.79223685488214,300,49,282,2.12,2.05,6.4,0.407649289786928,162590252748.967,0.278960345791543
726928,15.23,147.53,11,7.37,1.4684424e+20,Normal,25.21446773362,57.3479136794959,2.27440508700607,26,61,280,2.07,1.9,5.9,4.26981122336656,52979413104.0256,0.325700211166361
734493,26.8656,143.7392,14,7.37,1.4956213e+20,Normal,33.0029185053013,51.0347194512629,1.54636988977399,116.32,40.35,236.32,1.36,2.01,6.9,0.395160351271225,163789376427.092,0.279805080480172
734797,-28.99,-176.24,45,7.37,1.5109368e+20,Reverse,39.215700002553,37.2321654970529,0.94941988781608,206,40,83,1.69,2.06,7.6,0.489724651304083,172821445288.876,0.279487037997594
737011,34.8965,45.8045,15,7.33,1.2792129e+20,StikeSlip,58.1449031782367,55.568778728428,0.955694750373703,354,16,138,2.18,3.06,7.2,0.114640965918309,86165040349.0426,0.256579742114925
734571,38.44,142.84,32,7.32,1.2542145e+20,Reverse,39.5841690730452,51.9502204245357,1.31239891201635,193,12,78,1.52,2.17,4.5,0.126146005522543,172821445288.877,0.279487037997594
735108,12.14,-88.59,11.8,7.32,1.2646233e+20,Reverse,70.4253155920681,112.868398484636,1.60266798289433,284,15,77,1.74,4.02,0.5,0.143640216983154,66495717653.3177,0.279277377587194
734337,-5.93,150.59,35,7.31,1.2139013e+20,Reverse,40.7444368278491,66.3381298356137,1.62815184109432,257,24,82,2.32,2.04,3.1,0.014376212861203,131135739926.376,0.276292464863146
735886,12.6127,-88.0734,40.5,7.29,1.1131799e+20,Normal,38.1670518321069,48.1562881072112,1.26172407339833,125.77,21.72,271.8,2,2.31,8.2,0.127914811174284,172821445288.876,0.279487037997594
734497,-19.7,167.94,16,7.29,1.1411524e+20,Normal,27.3429775958597,52.5923636218395,1.92343220256316,150,49,242,1.22,2.15,13,0.229984993153658,135980575337.048,0.286365734633716
736096,27.8428,86.1535,15,7.26,1.0367405e+20,Reverse,56.7480178410118,87.8122676748012,1.54740678204516,305,9,116,2.25,3.21,3.3,0.156437828695441,84529171674.6799,0.254607371794872
734360,-17.54,168.07,25,7.26,1.0172033e+20,Reverse,33.806703134661,35.5090618084107,1.05035565482292,345,33,126,1.18,2.17,8.6,0.121860457530372,169540975634.203,0.279687865362814
735707,17.4,-100.96,24,7.25,9.9761792e+19,Reverse,42.4218444006874,65.1144676030361,1.53492778362039,303,18,98,2.24,2.14,4.9,0.0931987688030598,132469039308.854,0.276671434063429
736554,-22.489,173.0954,16.1,7.24,9.602446e+19,StikeSlip,17.8615343239024,57.2032471572113,3.20259425197652,292.34,52.45,184.82,2.46,1.92,8.4,0.976646817325142,139247973987.371,0.279564911122977
734267,3.75,96.02,38,7.24,9.5033855e+19,Reverse,35.2815003757125,50.432638712363,1.42943577158868,304,18,88,1.36,2.15,5.5,0.0997775602926042,172821445288.877,0.279487037997594
731522,2.82,96.08,30,7.23,9.1105466e+19,Reverse,59.0131701631612,41.4946705336674,0.703142542909351,297,16,73,2.63,1.95,2.6,0.0749264303400952,168553476642.905,0.279292898752164
736359,54.0377,158.5142,160,7.2,8.2728467e+19,Normal,20.3193514479146,28.2677480078846,1.39117373309598,78,72,239,0.74,2.17,17,0.0318090983668535,172821445288.876,0.279487037997594
732540,38.28,142.04,36,7.18,7.7272223e+19,Reverse,33.2195672846922,39.8183847523727,1.1986424871561,202,25,81,1.31,2.04,5.5,0.036609788707249,172821445288.877,0.279487037997594
731814,-45.1,167.14,28,7.17,7.5100215e+19,Reverse,34.3788043571566,35.7802288987345,1.04076420247251,209,67,88,1.55,2.32,5.7,0.113684038761585,138733248909.472,0.276928416964666
734878,2.43,93.21,19,7.17,7.5946684e+19,StikeSlip,11.8974589766719,88.8569735312411,7.46856733908212,103,81,187,2.05,2.1,7.7,0.382427857301322,93469162105.2415,0.299139803066268
737107,16.45,-97.85,25,7.16,7.146535e+19,Reverse,30.4053127879502,29.2519898617263,0.96206837488345,297,12,91,2.62,3.08,18,0.364278120487986,124889052709.624,0.276438579314786
736478,-56.2571,-27.0364,78,7.15,6.9645446e+19,Normal,36.4267824319221,34.488932207731,0.94680149892973,99,67,307,1.77,2.06,5.4,0.0530868443784519,172821445288.876,0.279487037997594
736008,52.6693,-31.9244,13.8,7.13,6.4685736e+19,StikeSlip,19.9268407510474,45.2190280080384,2.2692522398796,277.88,79.8,190.63,1.27,2.16,11,0.309312080317573,146302398072.132,0.280427442374798
