MSt,MSlat,MSlon,MSdepth,MSmag,MSfms,MSprod,FSprod,MSres
725690.888953125,23.9549,121.765,38,7.3,0,60,0,0.15357367067999
725191.192283218,-4.4443,152.8146,45.8,7.3,0,52,0,0.0914257639311455
724610.740286921,-6.8518,72.0422,10,7.3,0,89,0,0.324812426941259
723844.140468634,18.1841,-102.0122,28.1,7.3,0,15,0,-0.448486320647972
736554.060142245,-22.4778,173.1108,16.44,7.2,0,82,0,0.380344180494619
735210.346106829,37.8201,144.1594,35.3,7.2,0,189,0,0.742992132284147
734878.775696644,2.4307,93.2081,20.9,7.2,0,23,0,-0.171741835871505
734285.718598727,-13.6734,166.6722,34.7,7.2,0,52,1,0.182533671745702
734232.944949653,32.2764,-115.2633,5.2,7.2,0,37,0,0.0347320521778975
733463.35872581,-2.4893,99.9204,29.8,7.2,0,34,5,-0.0019907548468423
733395.396163079,51.3982,-179.5373,36.2,7.2,0,39,1,0.0575949351374017
733287.045359259,-11.589,165.8205,37.5,7.2,0,83,0,0.385608420486977
732540.115589468,38.2013,142.1143,37.8,7.2,0,47,1,0.13862818604662
732517.654224537,7.9066,92.1458,17.5,7.2,0,56,0,0.214718355117103
732478.118701042,41.4472,-125.5848,18,7.2,0,8,0,-0.630379684897154
732266.379807755,4.7417,-77.4704,15,7.2,0,4,0,-0.931409680561135
732195.42161088,33.0706,136.7349,18.7,7.2,0,87,0,0.406049580729521
731814.508881018,-45.0875,167.0892,6.8,7.2,0,123,0,0.556435439550301
731601.363283565,-10.5295,160.8058,43.4,7.2,0,9,0,-0.579227162449773
731522.059859144,2.9794,96.1147,31,7.2,0,33,0,-0.0149557320112099
731218.724226273,-17.668,167.853,53.7,7.2,0,79,0,0.364157419401344
729401.853102199,18.1734,-102.8339,49.3,7.2,0,7,0,-0.688371631874841
728843.826975347,-29.3494,-177.5526,38.4,7.2,0,21,0,-0.211250377155178
728182.800637847,14.7377,-92.6879,35.7,7.2,0,156,4,0.659654926465364
727855.633329514,7.1451,-76.8414,10,7.2,0,68,2,0.299039240817139
