MSt,MSlat,MSlon,MSdepth,MSmag,MSfms,MSprod,FSprod,MSres,SeismoWidth,Background,Time_appended_cat1,Lat_appended_cat1,Lon_appended_cat1,Depth_appended_cat1,Mw_appended_cat1,Mo_appended_cat1,Width_appended_cat1,Length_appended_cat1,Strike_appended_cat1,Dip_appended_cat1,Rake_appended_cat1,RuptureVelocity_appended_cat1,RuptureTime_appended_cat1,StressDrop_appended_cat1,Young_appended_cat1,Poisson_appended_cat1
734337.565982639,-6.0444,150.6597,43.1,7.3,0,133,0,0.211200362183335,39.9,1.80367540952536e-14,734267,3.75,96.02,38,7.24,9.5033855e+19,63,95,304,18,88,1.36,2.15,5.5,172821445288.877,0.279487037997594
733788.742806019,46.8333,155.246,31.1,7.3,0,27,0,-0.481287514624764,37.54,1.1447505417855e-15,734571,38.44,142.84,32,7.32,1.2542145e+20,75,96,193,12,78,1.52,2.17,4.5,172821445288.877,0.279487037997594
733728.710101968,1.3516,122.1629,28.1,7.3,0,23,0,-0.550923442766158,34.16,5.77361317233914e-15,733458,2.77,95.96,26,7.39,1.5921202e+20,127.5,120,308,12,80,1.39,2.23,3.1,172821445288.877,0.279487037997594
733507.532094097,-20.0376,168.9074,31.4,7.3,0,155,0,0.27768041938654,33.46,8.35108153051105e-15,734360,-17.54,168.07,25,7.26,1.0172033e+20,75,80,345,33,126,1.18,2.17,8.6,169540975634.203,0.279687865362814
731942.667363889,-21.8913,169.7329,10,7.3,0,214,0,0.41776249456544,34.46,9.35208618713774e-15,730450,-16.288,168.288,14,7.41,1.6854665e+20,62,230,170,40,67,1.67,3.31,3,101029370262.58,0.291675810667024
729520.331592361,33.8784,59.823,6.7,7.3,0,37,0,-0.344449554716756,25.4,0,729702,35.196,86.978,11.67,7.48,2.1994478e+20,20.16,204,79,82,2,2.13,2.23,6.9,82165263157.8947,0.242105263157895
727310.914483796,9.6963,-83.0745,4,7.3,0,30,0,-0.435530024064089,35.14,0,727310,9.68,-83.08,10,7.57,2.98336e+20,75,222,103,25,58,2.14,2.88,5.2,98373704421.9097,0.260841870520753
736554.060142245,-22.4778,173.1108,16.44,7.2,0,69,0,0.0302329133825228,31.42,8.18965411491124e-16,736554,-22.489,173.0954,16.1,7.24,9.602446e+19,28.75,90,292.34,52.45,184.82,2.46,1.92,8.4,139247973987.371,0.279564911122977
734878.775696644,2.4307,93.2081,20.9,7.2,0,25,0,-0.410676168682695,35.11,0,734878,2.43,93.21,19,7.17,7.5946684e+19,28,155,103,81,187,2.05,2.1,7.7,93469162105.2415,0.299139803066268
734285.718598727,-13.6734,166.6722,34.7,7.2,0,51,0,-0.101046001256796,35.82,6.41022501596456e-15,734337,-5.93,150.59,35,7.31,1.2139013e+20,129.15,126,257,24,82,2.32,2.04,3.1,131135739926.376,0.276292464863146
732540.115589468,38.2013,142.1143,37.8,7.2,0,31,0,-0.31725448352046,41.1,1.39538977633752e-15,732540,38.28,142.04,36,7.18,7.7272223e+19,56.1,114,202,25,81,1.31,2.04,5.5,172821445288.877,0.279487037997594
