MSt,MSlat,MSlon,MSdepth,MSmag,MSfms,MSprod,FSprod,MSres,SeismoWidth,Background,Time_appended_cat1,Lat_appended_cat1,Lon_appended_cat1,Depth_appended_cat1,Mw_appended_cat1,Mo_appended_cat1,Width_appended_cat1,Length_appended_cat1,Strike_appended_cat1,Dip_appended_cat1,Rake_appended_cat1,RuptureVelocity_appended_cat1,RuptureTime_appended_cat1,StressDrop_appended_cat1,Young_appended_cat1,Poisson_appended_cat1
734360.2248,-17.54,168.07,25,7.3,3,10,0,0.302495106214363,33.01,7.9991006152242e-14,734360,-17.54,168.07,25,7.26,1.0172033e+20,75,80,345,33,126,1.18,2.17,8.6,169540975634.203,0.279687865362814
734497.5532,-19.7,167.94,16,7.3,2,25,0,0.700435114886401,32.72,1.99384936421509e-14,734497,-19.7,167.94,16,7.29,1.1411524e+20,45.6,115,150,49,242,1.22,2.15,13,135980575337.048,0.286365734633716
734571.1148,38.44,142.84,32,7.3,3,149,0,1.47568137462664,34.32,3.90291115552642e-14,734571,38.44,142.84,32,7.32,1.2542145e+20,75,96,193,12,78,1.52,2.17,4.5,172821445288.877,0.279487037997594
734678.1317,52.07,-171.84,52,7.3,2,5,0,0.0014651105503819,28.4,2.02749049666439e-14,736353,59.6585,-153.4521,127.8,7.12,6.2205808e+19,52.5,50,60,66,37,1.28,2.03,13,172821445288.876,0.279487037997594
735707.6024,17.4,-100.96,24,7.3,3,0,0,-Inf,41.1,1.99203759293003e-14,735707,17.4,-100.96,24,7.25,9.9761792e+19,75,114,303,18,98,2.24,2.14,4.9,132469039308.854,0.276671434063429
735886.1608,12.53,-88.12,40,7.3,2,0,0,-Inf,38.61,1.74212771069809e-14,735886,12.6127,-88.0734,40.5,7.29,1.1131799e+20,75,70,125.77,21.72,271.8,2,2.31,8.2,172821445288.876,0.279487037997594
727699.2952,-6.06,147.59,50,7.2,3,2,0,-0.297248431759444,33,2.53116870541077e-14,728149,12.994,144.752,59,7.74,5.2796836e+20,159.6,210,312,24,147,1.24,3.51,5.3,172821445288.876,0.279487037997594
728182.8006,14.73,-92.68,34,7.2,3,7,0,0.246819612590832,37.56,1.35568074890048e-14,730393,16.06,-96.93,40,7.38,1.5480472e+20,58.8,85,300,49,282,2.12,2.05,6.4,162590252748.967,0.278960345791543
731522.0598,2.82,96.08,30,7.2,3,2,0,-0.297248431759444,27.3,1.13726443916885e-14,731522,2.82,96.08,30,7.23,9.1105466e+19,84,70,297,16,73,2.63,1.95,2.6,168553476642.905,0.279292898752164
731814.5089,-45.1,167.14,28,7.2,3,2,0,-0.297248431759444,25,4.73270324312666e-15,731814,-45.1,167.14,28,7.17,7.5100215e+19,60,85,209,67,88,1.55,2.32,5.7,138733248909.472,0.276928416964666
732540.1156,38.28,142.04,36,7.2,3,2,0,-0.297248431759444,31.91,2.79626249537879e-14,732540,38.28,142.04,36,7.18,7.7272223e+19,56.1,114,202,25,81,1.31,2.04,5.5,172821445288.877,0.279487037997594
734878.7757,2.43,93.21,19,7.2,1,1,0,-0.598278427423425,34.88,1.21003736669329e-15,734878,2.43,93.21,19,7.17,7.5946684e+19,28,155,103,81,187,2.05,2.1,7.7,93469162105.2415,0.299139803066268
736554.0601,-22.48,173.12,16.4,7.2,1,8,0,0.304811559568518,32.64,1.23432675618968e-14,736554,-22.489,173.0954,16.1,7.24,9.602446e+19,28.75,90,292.34,52.45,184.82,2.46,1.92,8.4,139247973987.371,0.279564911122977
726205.9722,-17.32,-72.4,54,7.1,3,3,0,-0.0219307063415501,34.99,1.77624660840511e-15,732476,-20.01,-69.24,108,7.74,5.399882e+20,80,110,175,15,270,3.11,2.13,16,172821445288.877,0.279487037997594
726998.3201,11.33,122.17,15,7.1,1,1,0,-0.499051961061213,34.06,6.03724136157988e-15,726928,15.23,147.53,11,7.37,1.4684424e+20,35,75,26,61,280,2.07,1.9,5.9,52979413104.0256,0.325700211166361
733510.021,-55.66,158.45,16,7.1,3,2,0,-0.198021965397231,4.89,2.70117192074644e-15,736302,-47.74,85.183,20,7.1,5.819964e+19,63,95,49,54,312,1.21,2.1,5.9,101228946843.414,0.301417956177215
734735.7049,-18.36,168.14,32,7.1,3,16,0,0.705068021594712,33.16,5.87205269624744e-14,734735,-18.36,168.14,32,7.12,6.3735013e+19,65,70,334,29,93,1.41,2.12,8.1,172821445288.877,0.279487037997594
734799.4454,38.72,43.51,16,7.1,3,6,0,0.279099289322431,31.42,1.82606979765751e-15,736096,27.8428,86.1535,15,7.26,1.0367405e+20,81.9,125,305,9,116,2.25,3.21,3.3,84529171674.6799,0.254607371794872
736008.7911,52.65,-31.9,16.7,7.1,1,1,0,-0.499051961061213,0,5.57151657991913e-15,736008,52.6693,-31.9244,13.8,7.13,6.4685736e+19,33,85,277.88,79.8,190.63,1.27,2.16,11,146302398072.132,0.280427442374798
736571.1875,-0.05,-17.83,10,7.1,1,0,0,-Inf,0,1.50092500499605e-14,736571,-0.0718,-17.8139,12,7.1,5.8395161e+19,16.5,110,79,85,169,1,2.02,11,90281683994.9803,0.29989332642791
735502.6963,-15.85,-74.56,45.8,7,3,0,0,-Inf,36.96,1.55957066547099e-14,737074,-15.776,-74.744,36.3,7.09,5.7254333e+19,85,133,313,35,92,2.16,2.26,5.1,153168550476.033,0.278126264613166
736106.9065,-11.05,163.69,11.2,7,1,2,0,-0.0987954990350195,29.44,2.98809247206976e-14,736091,-7.2771,154.5344,12,7.05,4.8551687e+19,35,105,125,67.5,272,1.96,2.24,2.7,46398784105.8492,0.330580673774526
736172.9037,-2.63,138.53,48,7,3,0,0,-Inf,35.16,4.84723914713488e-14,736172,-2.69,138.4789,48,6.96,3.5648385e+19,73.1,65,122,56,75,1.95,3.6,4.2,154770203449.756,0.277742975287408
736435.6841,32.79,130.75,10,7,1,5,0,0.299144509637018,36,2.16393026944006e-15,736435,32.782,130.726,12,7.04,4.742828e+19,26.1,90,224,66,208,2.26,1.95,5,85044560711.5453,0.265854477786413
723350.7187,9.48,126.66,54,6.9,3,3,0,0.176522226382873,36.08,1.95902548915067e-14,727944,42.85,144.383,107,7.55,2.7419255e+20,90,90,134,6,324,2.5,2.03,8.4,172821445288.877,0.279487037997594
735787.4749,14.76,-92.43,53,6.9,2,0,0,-Inf,38.96,3.1691559114006e-14,736957,18.549,-98.487,51,7.11,6.012192e+19,45,75,111,42,269,2.03,2.11,8.6,172821445288.877,0.279487037997594
732477.7155,51.23,179.41,51.1,6.8,3,1,0,-0.201372561974576,28.04,4.44077538948479e-14,735773,51.83,178.75,109,7.91,9.7612555e+20,105,147,309,84,243,1.49,3.78,13,172821445288.877,0.279487037997594
733368.367,-5.76,147.1,53,6.8,3,0,0,-Inf,30.6,2.46063334449487e-14,734046,-0.8,99.9,78,7.46,2.0585054e+20,69.5485519013604,65,71.34,53.51,137.96,1.89,1.97,30,172821445288.876,0.279487037997594
735264.8443,-28.09,-70.65,45,6.8,3,0,0,-Inf,30.32,1.41063923918751e-14,736478,-56.2571,-27.0364,78,7.15,6.9645446e+19,73.5,75,99,67,307,1.77,2.06,5.4,172821445288.876,0.279487037997594
735523.4382,-6.45,154.93,35,6.8,3,5,0,0.497597442361443,33.82,6.80565506646986e-14,734354,-5.75,150.76,34,6.87,2.6603077e+19,75,95,240,31,80,2.19,2.06,1,118850175555.589,0.273369005911105
729990.5814,11.66,-88.04,54.6,6.7,2,0,0,-Inf,38.92,9.62859701728915e-15,732581,-5.68,-76.4,115,7.48,2.1926721e+20,58.85,50,346.69,36,267.85,2.23,2,22,172821445288.877,0.279487037997594
734976.1599,-32.62,-71.36,29,6.7,3,0,0,-Inf,30.41,2.52240256956536e-14,736809,-33.0844,-72.0397,27,6.89,2.791498e+19,86.1,105,4,17,99,2.05,2.15,3.3,172821445288.876,0.279487037997594
733997.9506,32.82,140.4,53,6.6,3,0,0,-Inf,34,6.48443765744781e-15,736359,54.0377,158.5142,160,7.2,8.2728467e+19,60,75,78,72,239,0.74,2.17,17,172821445288.876,0.279487037997594
736350.7548,18.82,-106.93,10,6.6,1,0,0,-Inf,25,2.2853214358837e-14,737184,19.37,-155.03,8,6.88,2.7660745e+19,25,108,240,20,114,1.2,2.13,3.3,51491864640.6712,0.322375021391131
733909.0374,-31.52,-178.79,54.6,6.5,3,0,0,-Inf,39.01,3.72310397628725e-14,735377,-23.01,-177.23,174,7.39,1.574821e+20,68,85,15,79,275,1.59,2.28,19,172821445288.877,0.279487037997594
734879.7139,36.33,52.78,15.8,5,3,0,0,-Inf,33.76,2.41990212103111e-15,734799,38.752,43.456,16,0,0,50.721568,75,241.32,50.94,58.4,1.56,2.2,7.1,86884337534.5999,0.255895767744304
